Авариийно-сигнальное сообщение;Сообщение БСТО::Источник;Сообщение БСТО::ИН;Сообщение БСТО::Краткое описание неисправности;Работа РУН;Сигнализация СЭИ;Сигнализация СЭИ::Мнемокадр ELEC;Ошибки;Локальная сигнализация;Локальная сигнализация:: Альтернативное название;Локальная сигнализация::Пульт ELEC;Наблюдаемые неисправности
;EPGS;413;GS K43/K44 DRVR PTC TRIP;24-23-00-810-912;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;;;;24-61-00-810-805;Напряжение на левой шине постоянного тока отображается в виде прочерков янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-61-00-810-807;Напряжение на левой шине постоянного тока отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-61-00-810-806;Напряжение на правой шине постоянного тока отображается в виде прочерков янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-61-00-810-808;Напряжение на правой шине постоянного тока отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;;;;
;EIU1 и EIU2;138;LOAD1 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;139;LOAD2 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;140;LOAD3 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;141;LOAD4 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;142;LOAD5 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;143;LOAD6 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;144;LOAD7 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;145;LOAD8 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;146;LOAD9 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;147;LOAD10 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;148;LOAD11 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;149;LOAD12 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;150;LOAD13 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;151;LOAD14 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;152;LOAD15 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;153;LOAD16 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;154;LOAD17 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;155;LOAD18 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;156;LOAD19 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;157;LOAD20 CIRCUIT FAULT;24-61-00-810-809;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;158;LOAD1 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;159;LOAD2 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;160;LOAD3 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;161;LOAD4 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;162;LOAD5 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;163;LOAD6 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;164;LOAD7 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;165;LOAD8 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;166;LOAD9 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;167;LOAD10 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;168;LOAD11 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;169;LOAD12 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;170;LOAD13 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;171;LOAD14 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;172;LOAD15 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;173;LOAD16 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;174;LOAD17 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;175;LOAD18 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;176;LOAD19 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;177;LOAD20 CIRCUIT FAULT;24-61-00-810-810;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;178;LOAD1 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;179;LOAD2 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;180;LOAD3 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;181;LOAD4 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;182;LOAD5 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;183;LOAD6 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;184;LOAD7 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;185;LOAD8 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;186;LOAD9 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;187;LOAD10 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;188;LOAD11 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;189;LOAD12 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;190;LOAD13 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;191;LOAD14 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;192;LOAD15 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;193;LOAD16 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;194;LOAD17 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;195;LOAD18 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;196;LOAD19 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;197;LOAD20 CIRCUIT FAULT;24-61-00-810-811;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;198;LOAD1 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;199;LOAD2 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;200;LOAD3 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;201;LOAD4 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;202;LOAD5 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;203;LOAD6 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;204;LOAD7 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;205;LOAD8 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;206;LOAD9 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;207;LOAD10 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;208;LOAD11 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;209;LOAD12 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;210;LOAD13 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;211;LOAD14 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;212;LOAD15 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;213;LOAD16 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;214;LOAD17 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;215;LOAD18 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;216;LOAD19 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;217;LOAD20 CIRCUIT FAULT;24-61-00-810-812;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;218;LOAD1 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;219;LOAD2 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;220;LOAD3 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;221;LOAD4 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;222;LOAD5 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;223;LOAD6 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;224;LOAD7 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;225;LOAD8 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;226;LOAD9 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;227;LOAD10 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;228;LOAD11 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;229;LOAD12 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;230;LOAD13 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;231;LOAD14 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;232;LOAD15 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;233;LOAD16 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;234;LOAD17 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;235;LOAD18 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;236;LOAD19 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;237;LOAD20 CIRCUIT FAULT;24-61-00-810-813;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;238;LOAD1 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;239;LOAD2 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;240;LOAD3 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;241;LOAD4 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;242;LOAD5 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;243;LOAD6 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;244;LOAD7 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;245;LOAD8 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;246;LOAD9 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;247;LOAD10 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;248;LOAD11 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;249;LOAD12 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;250;LOAD13 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;251;LOAD14 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;252;LOAD15 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;253;LOAD16 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;254;LOAD17 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;255;LOAD18 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;256;LOAD19 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;257;LOAD20 CIRCUIT FAULT;24-61-00-810-814;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;258;LOAD1 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;259;LOAD2 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;260;LOAD3 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
